asin,title,imgUrl,productURL,stars,reviews,price,listPrice,isBestSeller,boughtInLastMonth,id,category_name
B07NK45B95,Rui Xin 213 2PCS White LED light Error Free Number License Plate Lights Car Number Lamp For Volvo S80 XC90 S40 V60 XC60 S60 V70 C70 Lamp Bulb Kit,https://m.media-amazon.com/images/I/51wyZIAg2SL._AC_UL320_.jpg,https://www.amazon.com/dp/B07NK45B95,4.3,0,14.98,0.0,False,0,22,"Lights, Bulbs & Indicators"
B0C77MLV6P,"Baby On Board Magnet for Car - Essential Magnetic Sticker Sign for Bumper - 2 Pack, 5"" by 5"" - Bright Yellow and Reflective - Best Safety Sign Accessories for Cars",https://m.media-amazon.com/images/I/81qCEp+lUSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C77MLV6P,4.5,22,6.99,10.99,False,300,165,Home Décor Products
B00259PJGY,Wago Operating Tool Fitted for Series 279-209-129,https://m.media-amazon.com/images/I/31Wt93o1FlL._AC_UL320_.jpg,https://www.amazon.com/dp/B00259PJGY,4.6,0,6.82,0.0,False,0,214,Welding & Soldering
B08FDFY4DQ,Elastic Bandage Clips Bandage Wrap Clips Stretch Metal Clips with Plastic Storage Box Replaceable Wrap Clips for Various Types Bandages (50 Pieces),https://m.media-amazon.com/images/I/81LjgQ1cjdL._AC_UL320_.jpg,https://www.amazon.com/dp/B08FDFY4DQ,4.1,0,7.99,0.0,False,200,198,Sports & Fitness
B00DSKPNBA,コール オブ デューティ ブラックオプス ディクラシファイド,https://m.media-amazon.com/images/I/714CkwStVlL._AC_UY218_.jpg,https://www.amazon.com/dp/B00DSKPNBA,3.9,138,,0.0,False,0,251,"PlayStation Vita Games, Consoles & Accessories"
B07TXML8D8,"Nuby Lots A Loops Sensory Multicolor Teether Toy and Rattle for Baby and Toddler, 3M+",https://m.media-amazon.com/images/I/81Ak67K1WXL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TXML8D8,4.5,96,8.49,9.99,False,300,230,Baby & Toddler Toys
B00J26H362,"Cirepil - Destination SPA, Excursion Japonaise - 400g / 14.11 oz Wax Tin - Green Tea Scent - Thin Gel Texture - Perfect for Large Areas & All Hair Types - Strips Needed",https://m.media-amazon.com/images/I/61SEdL2n21L._AC_UL320_.jpg,https://www.amazon.com/dp/B00J26H362,4.1,0,22.99,0.0,False,0,53,Shaving & Hair Removal Products
B08SKH6J81,Beard Bib - Men's Beard Hair Catcher for Shaving and Trimming - Non-Stick Beard Trimming Catcher Bib - Beard Bib Apron for Men with Strong Suction Cups - Grooming Gifts for Husband Dad - Black,https://m.media-amazon.com/images/I/51CyVkgr0HL._AC_UL320_.jpg,https://www.amazon.com/dp/B08SKH6J81,4.3,1181,8.99,17.99,False,400,53,Shaving & Hair Removal Products
B0C5896QCC,3PC Dumbbell Bracelet for Men Gym Bracelet Adjustable Featuring Volcanic Lava Stone Bracelet and Natural Stones Bracelet for Boys Men,https://m.media-amazon.com/images/I/61kxIVPV9ML._AC_UL320_.jpg,https://www.amazon.com/dp/B0C5896QCC,5.0,0,8.98,0.0,False,0,88,Boys' Jewelry
B0C963BMCV,"Meslauth WiFi Adapter TV LAN for Samsung Smart TV, Wireless Capable WLAN USB, Compatible WIS12ABGNX WIS09ABGN",https://m.media-amazon.com/images/I/41GoqtydYDL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C963BMCV,1.4,3,30.99,0.0,False,0,69,Televisions & Video Products
B07NCW4JD2,Torino Pro Wave Brushes by Brush king #60- Medium Soft Curve 360 Waves brush,https://m.media-amazon.com/images/I/81MKa4JwWCL._AC_UL320_.jpg,https://www.amazon.com/dp/B07NCW4JD2,4.7,0,19.99,29.99,False,300,47,Hair Care Products
B0C9ZWHZK4,USB Charging Port Dock Mic Flex PCB Board Repairment for Xiaomi Poco M4 Pro 5G,https://m.media-amazon.com/images/I/51Iaugl-QeL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9ZWHZK4,,0,9.19,0.0,False,0,58,Tablet Replacement Parts
